龙湖青云阙,9.1/10分,-在售-洋房-大平层-住宅底商,25000,-三居(3)-四居(4),高新经二十二路与纬三十六路交汇处（未来之瞳旁）,2023年3月14日三期1、2、3、4、5、6、7#开盘
中国铁建·西派逸园,9.4/10分,-待售-普通住宅-住宅底商-品牌地产-央企开发,15554,-三居(3)-四居(1),城东灞桥区柳烟路与南程路交汇处西北角,12#于5月14日开盘
紫薇华发云峰里,9.2/10分,-在售-普通住宅-住宅底商-品牌地产-毛坯,24063,-三居(5)-四居(2),高新规划二十八路以北，经二十二路以西，经二十六路以东,2022年11月1日
崇文尊域万樾府,8.9/10分,-待售-普通住宅-住宅底商--品牌地产,12668,-二居(1)-三居(5),西咸新区正阳大道与泾河大道交汇处向西300米,暂无资料
九锦云廷,9.2/10分,-在售-普通住宅-住宅底商-豪华居住区-毛坯,16603,-二居(1)-三居(4),城南含光北路15号,2023年1月16日
中海·天谷时代,9.2/10分,-在售-普通住宅-品牌地产-央企开发-公共部分带装修,26379,-三居(3)-四居(1),高新丝路软件城 天谷二路与云水三路西北角,2023-04-22日9#、13#、15#已开盘
绿地海珀未泱,9.4/10分,-待售-普通住宅-大平层-品牌地产-地铁沿线,13059,-三居(3)-四居(1),经开尚稷路与草滩二路交叉口东北角,暂无资料
上河雲璟,9.1/10分,-在售-普通住宅-洋房-带装修,13507,-三居(3)-四居(3),浐灞浐灞国家湿地公园西侧（北辰大道与启源三 路交汇处东南角）,2023年3月24日32、36、40号楼开盘
中国铁建·西派城,9.3/10分,-在售-普通住宅-品牌地产-地铁沿线-央企开发,20430,-四居(4),城北未央区凤城二路与景云路交汇处向南400米,2023年5月
大明宫·紫檀府,9.2/10分,-在售-普通住宅-洋房-品牌地产-地铁沿线,18100,-四居(3),城北大明宫遗址区太华路与玄武路交汇处向东500米,大明宫紫檀府定于3月8日开盘
陕建·雁南朗境,9.4/10分,-待售-普通住宅-国企开发-低密居所-教育地产,待定,-三居(3)-四居(1),城南雁塔区西部大道与茅坡路十字向南约300米,暂无资料
龙湖云璟,9.3/10分,-在售-普通住宅-品牌地产-湖景地产-带装修,18696,-三居(4),曲江新兴南路与田马路交叉口东南角,2022年11月15日13#楼已选房
领航·云熙,9.3/10分,-在售-普通住宅-商业-商住公寓-品牌地产,17648,-二居(1)-三居(6)-四居(3),高新雁塔区科技路与高新六路交汇处向北200米,2022年8月5日
隆源国际城,9.4/10分,-在售-普通住宅-LOFT-商住公寓-,13914,-开间(1)-三居(2)-四居(1),经开元朔路和尚贤路十字东（高铁北客站东900米 ）,隆源国际城41#42#43#于2022年7月12日开盘选房
龙翔·奥城珑樾府,9.3/10分,-在售-普通住宅-地铁沿线-低密居所-公园地产-入围年度人气榜,17100,-三居(1)-四居(1),浐灞国际港务区港兴三路以南、和畅路以东,云祥府4#、云璟府5#,6#于2023年05月27日已开盘
白桦林溪,9.3/10分,-在售-普通住宅-洋房-品牌地产-地铁沿线,20827,-四居(4)-五居以上(3),经开高铁新城尚稷路与建元二路十字东南角,白桦林溪22#-28#于2022年9月24日开盘
奥园和悦府,9.2/10分,-在售-普通住宅-品牌地产-复合地产-公园地产,20000,-四居(1)-五居(1),高新南三环与子午大道东南角,7#8#于2022年8月28日开盘
麓语拾光,9.1/10分,-在售-普通住宅-洋房-品牌地产-低总价,9144,-三居(3),高陵高陵地铁10号线水景公园站（在建）旁,2022年10月2日开盘
御锦城,9.4/10分,-待售-普通住宅-地铁沿线-水景地产-毛坯,15483,-三居(2)-四居(1),浐灞浐河东路以东、长乐路以北,19期13、14、20、21#楼于2023年5月20日已开盘
